Server;Apps;PC;DBegin;DEnd;Duration
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 14:06;23/03/2016 14:34;00:27:22
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 14:04;23/03/2016 14:06;00:02:37
SRVMV-SOCIAL001;IODAS-Usager;XP28201;23/03/2016 13:58;23/03/2016 14:43;00:44:08
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/03/2016 13:54;23/03/2016 14:20;00:25:43
SRVMV-PDEP001;Abyla PROD;XP18718;23/03/2016 13:45;23/03/2016 14:04;00:18:44
SRVMV-PDEP001;Abyla PROD;SE27384;23/03/2016 13:43;23/03/2016 14:07;00:23:59
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/03/2016 13:34;23/03/2016 14:41;01:06:39
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/03/2016 11:36;23/03/2016 12:25;00:49:21
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;23/03/2016 11:20;23/03/2016 12:03;00:42:45
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 10:58;23/03/2016 11:19;00:21:14
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 10:56;23/03/2016 10:58;00:01:45
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;23/03/2016 10:49;23/03/2016 11:45;00:56:05
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 10:43;23/03/2016 10:55;00:12:07
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 10:36;23/03/2016 12:03;01:26:44
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;23/03/2016 09:54;23/03/2016 09:54;00:00:07
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;23/03/2016 09:50;23/03/2016 10:14;00:23:19
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/03/2016 09:37;23/03/2016 10:27;00:50:01
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;23/03/2016 09:37;23/03/2016 10:27;00:50:04
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 09:32;23/03/2016 10:27;00:54:31
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 09:29;23/03/2016 09:30;00:00:13
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;23/03/2016 09:03;23/03/2016 10:49;01:45:59
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/03/2016 08:50;23/03/2016 12:45;03:54:57
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;23/03/2016 08:50;23/03/2016 08:50;00:00:03
SRVMV-COMMUN001;Microsoft Excel 2007;XP19415;23/03/2016 08:43;23/03/2016 08:51;00:08:42
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 08:38;23/03/2016 09:33;00:55:31
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 08:37;23/03/2016 08:37;00:00:49
SRVMV-COMMUN001;Microsoft Word 2007;W76030_21056;22/03/2016 17:29;22/03/2016 18:39;01:09:08
SRVMV-COMMUN002;Horus;HUMV25061;22/03/2016 17:25;22/03/2016 17:25;00:00:30
SRVMV-COMMUN001;Horus;HUMV25061;22/03/2016 17:24;22/03/2016 17:24;00:00:16
SRVMV-COMMUN001;Mon Services WEB;HUMV25061;22/03/2016 17:23;22/03/2016 17:24;00:00:28
SRVMV-COMMUN001;Application des applications;HUMV25061;22/03/2016 17:22;22/03/2016 17:23;00:00:31
SRVMV-COMMUN001;Abbyy FineReader;HUMV25061;22/03/2016 17:21;22/03/2016 17:21;00:00:07
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/03/2016 17:15;22/03/2016 17:20;00:04:46
SRVMV-COMMUN001;SID Tableau de Bord;HU31831;22/03/2016 16:07;22/03/2016 16:07;00:00:03
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/03/2016 15:50;22/03/2016 17:15;01:24:34
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;22/03/2016 15:48;22/03/2016 17:00;01:11:50
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 15:15;22/03/2016 15:39;00:24:20
SRVMV-COMMUN001;Mozilla Firefox;W76030_21056;22/03/2016 15:08;22/03/2016 16:51;01:42:45
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 15:05;22/03/2016 15:19;00:14:33
SRVMV-W3NEOT001;Batwindows;HU30424;22/03/2016 15:05;22/03/2016 15:26;00:21:34
SRVMV-COMMUN001;Microsoft Word 2007;W76030_21056;22/03/2016 14:43;22/03/2016 16:51;02:07:38
SRVMV-W3NEOT001;Batwindows;HU30424;22/03/2016 14:31;22/03/2016 15:03;00:32:05
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 14:07;22/03/2016 15:12;01:05:04
SRVMV-COMMUN001;Portail_AD33;XP21823;22/03/2016 14:04;22/03/2016 14:04;00:00:08
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;22/03/2016 13:42;22/03/2016 14:29;00:46:38
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 13:40;22/03/2016 15:02;01:22:27
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 13:37;22/03/2016 13:40;00:02:36
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/03/2016 13:32;22/03/2016 14:03;00:30:33
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 13:29;22/03/2016 14:07;00:37:45
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 12:16;22/03/2016 12:34;00:17:55
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 12:12;22/03/2016 12:16;00:03:30
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/03/2016 12:06;22/03/2016 12:37;00:31:01
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 11:57;22/03/2016 12:11;00:14:17
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;22/03/2016 11:14;22/03/2016 12:10;00:55:56
SRVMV-W3NEOT001;Batwindows;HU30426;22/03/2016 11:06;22/03/2016 11:32;00:26:06
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 11:00;22/03/2016 11:01;00:00:54
SRVMV-LSCE001;LibreOffice Calc;WY26799;22/03/2016 10:53;22/03/2016 10:58;00:05:25
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 10:43;22/03/2016 12:34;01:51:11
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 10:29;22/03/2016 10:33;00:03:45
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 10:20;22/03/2016 10:29;00:08:57
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 10:18;22/03/2016 11:54;01:35:37
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;22/03/2016 10:01;22/03/2016 10:19;00:18:53
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;22/03/2016 09:57;22/03/2016 10:18;00:21:28
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;22/03/2016 09:56;22/03/2016 11:13;01:17:00
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;22/03/2016 08:43;22/03/2016 09:04;00:20:51
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/03/2016 08:35;22/03/2016 09:47;01:12:01
SRVMV-SOCIAL001;IODAS-Usager;XP18625;21/03/2016 16:54;21/03/2016 17:13;00:18:54
SRVMV-PDEP001;Abyla PROD;SE29067;21/03/2016 16:12;21/03/2016 16:18;00:05:43
SRVMV-SOCIAL001;IODAS-Usager;XP18625;21/03/2016 16:01;21/03/2016 16:20;00:18:42
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;21/03/2016 14:20;21/03/2016 15:54;01:34:11
SRVMV-SOCIAL001;IODAS-Usager;XP18625;21/03/2016 14:03;21/03/2016 15:54;01:50:31
SRVMV-SOCIAL001;IODAS-Usager;XP18625;21/03/2016 13:26;21/03/2016 14:00;00:33:56
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;21/03/2016 11:30;21/03/2016 12:06;00:35:55
SRVMV-W8NEOT001;Business Objects Designer 6.5;HU31440;21/03/2016 11:30;21/03/2016 11:30;00:00:11
SRVMV-COMMUN001;Portail_AD33;XP21823;21/03/2016 11:25;21/03/2016 11:40;00:15:24
SRVMV-W8NEOT001;Business Objects Supervisor 6.5;HU31440;21/03/2016 11:10;21/03/2016 11:10;00:00:02
SRVMV-W8NEOT001;Business Objects Supervisor 6.5;HU31042;21/03/2016 11:09;21/03/2016 11:10;00:00:02
SRVMV-W8NEOT001;Business Objects 6.5;HU31440;21/03/2016 11:02;21/03/2016 11:02;00:00:06
SRVMV-W8NEOT001;Business Objects 6.5;HU31042;21/03/2016 11:01;21/03/2016 11:09;00:08:14
SRVMV-COMMUN001;Mozilla Firefox;HU31042;21/03/2016 10:45;21/03/2016 11:21;00:35:46
